process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,1x4,2,0.738266,0.0121365,400x400,0.692036,0.999996,1
4,1x4,2,0.660585,0.0135637,400x400,0.692036,0.999996,1
4,1x4,2,0.781073,0.0114714,400x400,0.692036,0.999996,1
4,1x4,2,0.726033,0.012341,400x400,0.692036,0.999996,1
8,1x8,1024,26.1094,0.175704,400x400,0.604165,0.992437,1
8,1x8,1024,22.3552,0.205211,400x400,0.604165,0.992437,1
8,1x8,1024,27.1526,0.168953,400x400,0.604165,0.992437,1
8,1x8,1024,18.4784,0.248264,400x400,0.604165,0.992437,1
8,1x8,1024,18.7043,0.245265,400x400,0.604165,0.992437,1
8,1x8,731,25.3907,0.128979,400x400,0.573456,0.992443,1
8,1x8,731,24.8268,0.131909,400x400,0.573456,0.992443,1
8,1x8,731,15.058,0.217485,400x400,0.573456,0.992443,1
8,1x8,731,24.147,0.135623,400x400,0.573456,0.992443,1
8,1x8,731,24.614,0.133049,400x400,0.573456,0.992443,1
8,1x8,522,21.3983,0.109287,400x400,0.579154,0.992442,1
8,1x8,522,22.1464,0.105595,400x400,0.579154,0.992442,1
8,1x8,522,22.3502,0.104633,400x400,0.579154,0.992442,1
8,1x8,522,23.5519,0.099294,400x400,0.579154,0.992442,1
8,1x8,522,23.7072,0.0986433,400x400,0.579154,0.992442,1
8,1x8,372,20.6909,0.0805454,400x400,0.630466,0.99243,1
8,1x8,372,14.621,0.113984,400x400,0.630466,0.99243,1
8,1x8,372,21.5903,0.0771903,400x400,0.630466,0.99243,1
8,1x8,372,21.5228,0.0774322,400x400,0.630466,0.99243,1
8,1x8,372,21.5536,0.0773218,400x400,0.630466,0.99243,1
8,1x8,265,18.0032,0.0659438,400x400,0.642706,0.99261,1
8,1x8,265,18.7614,0.0632787,400x400,0.642706,0.99261,1
8,1x8,265,18.334,0.0647539,400x400,0.642706,0.99261,1
8,1x8,265,19.9119,0.0596227,400x400,0.642706,0.99261,1
8,1x8,265,16.302,0.0728255,400x400,0.642706,0.99261,1
8,1x8,189,16.125,0.0525099,400x400,0.64676,0.994989,1
8,1x8,189,15.6926,0.0539567,400x400,0.64676,0.994989,1
8,1x8,189,11.681,0.0724867,400x400,0.64676,0.994989,1
8,1x8,189,15.7791,0.0536609,400x400,0.64676,0.994989,1
8,1x8,189,13.4357,0.0630201,400x400,0.64676,0.994989,1
8,1x8,135,11.4752,0.0527052,400x400,0.648244,0.996568,1
8,1x8,135,12.2078,0.049542,400x400,0.648244,0.996568,1
8,1x8,135,10.8398,0.0557946,400x400,0.648244,0.996568,1
8,1x8,135,15.1163,0.0400097,400x400,0.648244,0.996568,1
8,1x8,135,13.9192,0.0434508,400x400,0.648244,0.996568,1
8,1x8,96,11.5246,0.0373183,400x400,0.648742,0.997655,1
8,1x8,96,10.3814,0.0414278,400x400,0.648742,0.997655,1
8,1x8,96,10.983,0.0391586,400x400,0.648742,0.997655,1
8,1x8,96,9.53175,0.0451208,400x400,0.648742,0.997655,1
8,1x8,96,11.9597,0.0359609,400x400,0.648742,0.997655,1
8,1x8,68,9.4288,0.0323095,400x400,0.648918,0.998409,1
8,1x8,68,10.1597,0.0299852,400x400,0.648918,0.998409,1
8,1x8,68,10.3452,0.0294474,400x400,0.648918,0.998409,1
8,1x8,68,7.76369,0.0392391,400x400,0.648918,0.998409,1
8,1x8,68,10.1417,0.0300384,400x400,0.648918,0.998409,1
8,1x8,48,8.15324,0.0263748,400x400,0.649293,0.998935,1
8,1x8,48,8.68907,0.0247483,400x400,0.649293,0.998935,1
8,1x8,48,8.17442,0.0263065,400x400,0.649293,0.998935,1
8,1x8,48,8.35465,0.025739,400x400,0.649293,0.998935,1
8,1x8,48,8.30308,0.0258988,400x400,0.649293,0.998935,1
8,1x8,34,7.30253,0.0208585,400x400,0.65045,0.999296,1
8,1x8,34,6.97177,0.0218481,400x400,0.65045,0.999296,1
8,1x8,34,6.28151,0.0242489,400x400,0.65045,0.999296,1
8,1x8,34,5.63518,0.0270302,400x400,0.65045,0.999296,1
8,1x8,34,5.31419,0.0286629,400x400,0.65045,0.999296,1
8,1x8,24,5.87717,0.0182945,400x400,0.652939,0.999549,1
8,1x8,24,5.37893,0.0199891,400x400,0.652939,0.999549,1
8,1x8,24,5.70978,0.0188309,400x400,0.652939,0.999549,1
8,1x8,24,5.97365,0.017999,400x400,0.652939,0.999549,1
8,1x8,24,5.62272,0.0191224,400x400,0.652939,0.999549,1
8,1x8,17,3.47759,0.0219002,400x400,0.656909,0.999721,1
8,1x8,17,4.81796,0.0158075,400x400,0.656909,0.999721,1
8,1x8,17,4.48545,0.0169794,400x400,0.656909,0.999721,1
8,1x8,17,4.76612,0.0159794,400x400,0.656909,0.999721,1
8,1x8,17,4.44992,0.0171149,400x400,0.656909,0.999721,1
8,1x8,12,3.74212,0.0143662,400x400,0.662242,0.999836,1
8,1x8,12,3.25962,0.0164927,400x400,0.662242,0.999836,1
8,1x8,12,2.95857,0.0181709,400x400,0.662242,0.999836,1
8,1x8,12,3.70308,0.0145177,400x400,0.662242,0.999836,1
8,1x8,12,3.58258,0.0150059,400x400,0.662242,0.999836,1
8,1x8,8,2.88948,0.0124036,400x400,0.669486,0.999917,1
8,1x8,8,2.7816,0.0128847,400x400,0.669486,0.999917,1
8,1x8,8,2.19055,0.0163612,400x400,0.669486,0.999917,1
8,1x8,8,2.79575,0.0128195,400x400,0.669486,0.999917,1
8,1x8,8,2.62921,0.0136315,400x400,0.669486,0.999917,1
8,1x8,5,1.79776,0.01246,400x400,0.678138,0.999966,1
8,1x8,5,1.49874,0.0149458,400x400,0.678138,0.999966,1
8,1x8,5,1.49148,0.0150186,400x400,0.678138,0.999966,1
8,1x8,5,1.85708,0.012062,400x400,0.678138,0.999966,1
8,1x8,5,1.68059,0.0133287,400x400,0.678138,0.999966,1
8,1x8,3,1.22903,0.0109355,400x400,0.686574,0.999989,1
8,1x8,3,1.19827,0.0112162,400x400,0.686574,0.999989,1
8,1x8,3,1.39404,0.00964102,400x400,0.686574,0.999989,1
8,1x8,3,1.30529,0.0102966,400x400,0.686574,0.999989,1
8,1x8,3,1.18399,0.0113514,400x400,0.686574,0.999989,1
8,1x8,2,0.854241,0.0104888,400x400,0.692036,0.999996,1
8,1x8,2,0.884158,0.0101339,400x400,0.692036,0.999996,1
8,1x8,2,0.839576,0.0106721,400x400,0.692036,0.999996,1
8,1x8,2,0.86777,0.0103253,400x400,0.692036,0.999996,1
8,1x8,2,0.947433,0.00945714,400x400,0.692036,0.999996,1
16,1x16,1024,26.3096,0.174366,400x400,0.604165,0.992437,1
16,1x16,1024,15.1706,0.302396,400x400,0.604165,0.992437,1
16,1x16,1024,26.3411,0.174158,400x400,0.604165,0.992437,1
16,1x16,1024,24.8167,0.184856,400x400,0.604165,0.992437,1
16,1x16,1024,23.8148,0.192633,400x400,0.604165,0.992437,1
16,1x16,731,20.5793,0.159135,400x400,0.573456,0.992443,1
16,1x16,731,25.0695,0.130632,400x400,0.573456,0.992443,1
16,1x16,731,25.2219,0.129843,400x400,0.573456,0.992443,1
16,1x16,731,24.7779,0.13217,400x400,0.573456,0.992443,1
16,1x16,731,25.31,0.129391,400x400,0.573456,0.992443,1
16,1x16,522,23.669,0.0988026,400x400,0.579154,0.992442,1
16,1x16,522,23.6944,0.0986968,400x400,0.579154,0.992442,1
16,1x16,522,23.1598,0.100975,400x400,0.579154,0.992442,1
16,1x16,522,24.6325,0.0949381,400x400,0.579154,0.992442,1
16,1x16,522,23.0231,0.101574,400x400,0.579154,0.992442,1
16,1x16,372,22.5292,0.0739735,400x400,0.630466,0.99243,1
16,1x16,372,21.6165,0.0770967,400x400,0.630466,0.99243,1
